2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
8112   70    1     4   39  6      8   6  45      3;8112   70    1      4   39  6      8   6  45      ;8112   70   1      4   39  6      8  6 45         ;8112   70    1      4  39  6      8   6  45       ;8112   70    1     4   39   6      8   6  45      
8112   70    1     4   39  6      8   6  45      3;8112   70    1      4   39  6      8   6  45      ;8112   70   1      4   39  6      8  6 45         ;8112   70    1     4   39   6      8   6  45      ;8112   70    41     4   39  6      8   6  45      
8112   70    1      4   39  6      8   6  45      ;8112   70   1      4   39  6      8  6 45         ;8112   70    1     4   39   6      8   6  45      ;8112   70    41     4   39  6      8   6  45      ;8112   70    1      4   39  6      8   6  45      
8112   70    1      4   39  6      8   6  45      ;8112   70   1      4   39  6      8  6 45         ;8112   70    1     4   39   6      8   6  45      ;8112   70    1      4   39  6      8   6  45      ;8112   770    1      4   39  6      8   6  45     
8112   70   1      4   39  6      8  6 45         ;8112   70    1     4   39   6      8   6  45      ;8112   70    1      4   39  6      8   6  45      ;8112   770    1      4   39  6      8   6  45     ;8112   70   1      4   369  6      8  6 45        
8112   70    1     4   39   6      8   6  45      ;8112   70    1      4   39  6      8   6  45      ;8112   770    1      4   39  6      8   6  45     ;8112   70   1      4   369  6      8  6 45        ;8112   70    1  7    4   39   26      8   6  45   
8112   70    1     4   39   6      8   6  45      ;8112   770    1      4   39  6      8   6  45     ;8112   70   1      4   369  6      8  6 45        ;8112   70    1  7    4   39   26      8   6  45   ;8112   70    1     4   39   69      8   6  45     
8112   770    1      4   39  6      8   6  45     ;8112   70   1      4   369  6      8  6 45        ;8112   70    1  7    4   39   26      8   6  45   ;8112   70    1     4   39   69      8   6  45     ;8112   770    1      4   39  96  74    8   6  45  
8112   770    1      4   39  6      8   6  45     ;8112   70   1      4   369  6      8  6 45        ;8112   70    1     4   39   69      8   6  45     ;8112   770    1      4   39  96  74    8   6  45  ;8112   770    1      4   39  6     1 8   6 6 455  
8112   770    1      4   39  6      8   6  45     ;8112   70   1      4   369  6      8  6 45        ;8112   770    1      4   39  96  74    8   6  45  ;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    
8112   770    1      4   39  6      8   6  45     ;8112   770    1      4   39  96  74    8   6  45  ;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    ;812   770    1       4   39  6      8   6  45     
8112   770    1      4   39  6      8   6  45     ;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    ;812   770    1       4   39  6      8   6  45     ;8112   770    1       4   39  6      8   6  45    
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    ;812   770    1       4   39  6      8   6  45     ;8112   770    1       4   39  6      8   6  45    ;8112   770    1      4   39   6     1 8   6 6 455 
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    ;8112   770    1       4   39  6      8   6  45    ;8112   770    1      4   39   6     1 8   6 6 455 ;8112   770    1      4  39  6      8   6 6 455    
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    ;8112   770    1      4   39   6     1 8   6 6 455 ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  6     1 8   6 6 55   
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1  6    4   39  6      8   6  45    ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  6     1 8   6 6 55   ;8112   7750    1      4   39   6     1 8   6 6 455
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  6     1 8   6 6 55   ;8112   7750    1      4   39   6     1 8   6 6 455;8112   770    1      4   39  6     1 8   6 6 455  
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1      4  39  6      8   6 6 455    ;8112   7750    1      4   39   6     1 8   6 6 455;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1      4   39  6     1 8   6 6 455  
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1      4  39  6      8   6 6 455    ;8112   7750    1      4   39   6     1 8   6 6 455;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770     1      4   39  6     1 8   6 6 455 
8112   770    1      4   39  6     1 8   6 6 455  ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770     1      4   39  6     1 8   6 6 455 ;8112   770    1      4   39  66     1 8   6 6 455 
8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  6     1 8   6 6 455  ;8112   770     1      4   39  6     1 8   6 6 455 ;8112   770    1      4   39  66     1 8   6 6 455 ;8112   770     1      4  39  6       8   6 6 455  
8112   770    1      4  39  6      8   6 6 455    ;8112   770     1      4   39  6     1 8   6 6 455 ;8112   770    1      4   39  66     1 8   6 6 455 ;8112   770     1      4  39  6       8   6 6 455  ;812   770    1      4  39  6      8   6 63 455    
8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  66     1 8   6 6 455 ;8112   770     1      4  39  6       8   6 6 455  ;812   770    1      4  39  6      8   6 63 455    ;8112   770    1      4  39  6      8   6 6 455    
8112   770    1      4   39  66     1 8   6 6 455 ;8112   770     1      4  39  6       8   6 6 455  ;812   770    1      4  39  6      8   6 63 455    ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  66     1 8   6 6 455 
8112   770    1      4   39  66     1 8   6 6 455 ;812   770    1      4  39  6      8   6 63 455    ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  66     1 8   6 6 455 ;8112   7760    1      4   39  66     1 8   6 6 455
812   770    1      4  39  6      8   6 63 455    ;8112   770    1      4  39  6      8   6 6 455    ;8112   770    1      4   39  66     1 8   6 6 455 ;8112   7760    1      4   39  66     1 8   6 6 455;812   770    1      4  39  6      8   6 63 0455   
812   770    1      4  39  6      8   6 63 455    ;8112   770    1      4  39  6      8   6 6 455    ;8112   7760    1      4   39  66     1 8   6 6 455;812   770    1      4  39  6      8   6 63 0455   ;8142   770    1      4  39  6      8   6 63 455   
8112   770    1      4  39  6      8   6 6 455    ;8112   7760    1      4   39  66     1 8   6 6 455;812   770    1      4  39  6      8   6 63 0455   ;8142   770    1      4  39  6      8   6 63 455   ;8 112   770    1      4  39  6      8   6 6 455   
8112   7760    1      4   39  66     1 8   6 6 455;812   770    1      4  39  6      8   6 63 0455   ;8142   770    1      4  39  6      8   6 63 455   ;8 112   770    1      4  39  6      8   6 6 455   ;8112   7760    1      4    39  66     1 8   6 6 45
812   770    1      4  39  6      8   6 63 0455   ;8142   770    1      4  39  6      8   6 63 455   ;8 112   770    1      4  39  6      8   6 6 455   ;8112   7760    1      4    39  66     1 8   6 6 45;812   770    1      4  39        8   6 63  0455   
8142   770    1      4  39  6      8   6 63 455   ;8 112   770    1      4  39  6      8   6 6 455   ;8112   7760    1      4    39  66     1 8   6 6 45;812   770    1      4  39        8   6 63  0455   ;8142   770    1      4  39  6         6 63 455    
8142   770    1      4  39  6      8   6 63 455   ;8112   7760    1      4    39  66     1 8   6 6 45;812   770    1      4  39        8   6 63  0455   ;8142   770    1      4  39  6         6 63 455    ;8142    770    1      4  39  6      8   6 63 455  
8142   770    1      4  39  6      8   6 63 455   ;8112   7760    1      4    39  66     1 8   6 6 45;812   770    1      4  39        8   6 63  0455   ;8142   770    1      4  39  6         6 63 455    ;8142   770    1      4  39  6     8   6 63 455    
8142   770    1      4  39  6      8   6 63 455   ;8112   7760    1      4    39  66     1 8   6 6 45;812   770    1      4  39        8   6 63  0455   ;8142   770    1      4  39  6     8   6 63 455    ;8142   770    1      4  39  26      8   6 63 455  
8142   770    1      4  39  6      8   6 63 455   ;812   770    1      4  39        8   6 63  0455   ;8142   770    1      4  39  6     8   6 63 455    ;8142   770    1      4  39  26      8   6 63 455  ;8142   770    1      4  9  6      8   663 455     
8142   770    1      4  39  6      8   6 63 455   ;8142   770    1      4  39  6     8   6 63 455    ;8142   770    1      4  39  26      8   6 63 455  ;8142   770    1      4  9  6      8   663 455     ;8142   770    1      4  39  6      8   663 55     
8142   770    1      4  39  6      8   6 63 455   ;8142   770    1      4  39  26      8   6 63 455  ;8142   770    1      4  9  6      8   663 455     ;8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  039  6  3    8   6 63 455 
8142   770    1      4  39  26      8   6 63 455  ;8142   770    1      4  9  6      8   663 455     ;8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  039  6  3    8   6 63 455 ;8142   770    1      4  39  26      8   6 63 455  
8142   770    1      4  39  26      8   6 63 455  ;8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  039  6  3    8   6 63 455 ;8142   770    1      4  39  26      8   6 63 455  ;8142  770    1       4  39  26      8   6 63 455  
8142   770    1      4  39  26      8   6 63 455  ;8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  039  6  3    8   6 63 455 ;8142  770    1       4  39  26      8   6 63 455  ;8142   770    1      4  39  26      83  9 6 63 455
8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  039  6  3    8   6 63 455 ;8142  770    1       4  39  26      8   6 63 455  ;8142   770    1      4  39  26      83  9 6 63 455;8142   770 3   1      4  39  6       8   663 55   
8142   770    1      4  39  6      8   663 55     ;8142  770    1       4  39  26      8   6 63 455  ;8142   770    1      4  39  26      83  9 6 63 455;8142   770 3   1      4  39  6       8   663 55   ;8142   7770    1      4  39  64     8   663 55    
8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  39  26      83  9 6 63 455;8142   770 3   1      4  39  6       8   663 55   ;8142   7770    1      4  39  64     8   663 55    ;8142   3770    1      4  39  6      8   663 55    
8142   770    1      4  39  6      8   663 55     ;8142   770    1      4  39  26      83  9 6 63 455;8142   7770    1      4  39  64     8   663 55    ;8142   3770    1      4  39  6      8   663 55    ;8142   770    1      4  39  6      8   663 55     
8142   770    1      4  39  6      8   663 55     ;8142   7770    1      4  39  64     8   663 55    ;8142   3770    1      4  39  6      8   663 55    ;8142   770    1      4  39  6      8   663 55     ;8142   770    1        39  6      89   663 55 0   
8142   7770    1      4  39  64     8   663 55    ;8142   3770    1      4  39  6      8   663 55    ;8142   770    1      4  39  6      8   663 55     ;8142   770    1        39  6      89   663 55 0   ;8142   7770    1      4  39  64      8   663 55   
8142   7770    1      4  39  64     8   663 55    ;8142   3770    1      4  39  6      8   663 55    ;8142   770    1        39  6      89   663 55 0   ;8142   7770    1      4  39  64      8   663 55   ;8142   7770    1      4  39  64     8   663  55   
8142   7770    1      4  39  64     8   663 55    ;8142   770    1        39  6      89   663 55 0   ;8142   7770    1      4  39  64      8   663 55   ;8142   7770    1      4  39  64     8   663  55   ;8142   7770    1      4  39  64     8   663 55    
8142   7770    1      4  39  64     8   663 55    ;8142   770    1        39  6      89   663 55 0   ;8142   7770    1      4  39  64     8   663  55   ;8142   7770    1      4  39  64     8   663 55    ;8142   7770    1       4  39  64     8   663 5    
8142   7770    1      4  39  64     8   663 55    ;8142   7770    1      4  39  64     8   663  55   ;8142   7770    1      4  39  64     8   663 55    ;8142   7770    1       4  39  64     8   663 5    ;8142   7770    1      4  39  64     8   663 55    
8142   7770    1      4  39  64     8   663  55   ;8142   7770    1      4  39  64     8   663 55    ;8142   7770    1       4  39  64     8   663 5    ;8142   7770    1      4  39  64     8   663 55    ;8142   7770    1     4  39  64     8   663 55     
8142   7770    1      4  39  64     8   663  55   ;8142   7770    1       4  39  64     8   663 5    ;8142   7770    1      4  39  64     8   663 55    ;8142   7770    1     4  39  64     8   663 55     ;8142   7770    1      49  39  64     8   663  55  
8142   7770    1      4  39  64     8   663  55   ;8142   7770    1       4  39  64     8   663 5    ;8142   7770    1     4  39  64     8   663 55     ;8142   7770    1      49  39  64     8   663  55  ;8142   777    1     4  39  64     8   663  55     
8142   7770    1       4  39  64     8   663 5    ;8142   7770    1     4  39  64     8   663 55     ;8142   7770    1      49  39  64     8   663  55  ;8142   777    1     4  39  64     8   663  55     ;8142   7770    1       4  369  64     8   663     
8142   7770    1       4  39  64     8   663 5    ;8142   7770    1     4  39  64     8   663 55     ;8142   7770    1      49  39  64     8   663  55  ;8142   7770    1       4  369  64     8   663     ;8142   7770    1       4  39  64     8  663 5     
8142   7770    1       4  39  64     8   663 5    ;8142   7770    1      49  39  64     8   663  55  ;8142   7770    1       4  369  64     8   663     ;8142   7770    1       4  39  64     8  663 5     ;8142   77770    1        4  39  64     8   663 5  
8142   7770    1       4  39  64     8   663 5    ;8142   7770    1       4  369  64     8   663     ;8142   7770    1       4  39  64     8  663 5     ;8142   77770    1        4  39  64     8   663 5  ;8142   7770    1       4  39  64     8   663 5    
8142   7770    1       4  39  64     8   663 5    ;8142   7770    1       4  369  64     8   663     ;8142   7770    1       4  39  64     8  663 5     ;8142   7770    1       4  39  64     8   663 5    ;8142   77 70    1       4  39  64     8   663 5   
8142   7770    1       4  369  64     8   663     ;8142   7770    1       4  39  64     8  663 5     ;8142   7770    1       4  39  64     8   663 5    ;8142   77 70    1       4  39  64     8   663 5   ;8142  7 7770    1       4  369  64     8   663   1
8142   7770    1       4  369  64     8   663     ;8142   7770    1       4  39  64     8   663 5    ;8142   77 70    1       4  39  64     8   663 5   ;8142  7 7770    1       4  369  64     8   663   1;8142   7770    1       4  369  64     87   663 9  
8142   7770    1       4  39  64     8   663 5    ;8142   77 70    1       4  39  64     8   663 5   ;8142  7 7770    1       4  369  64     8   663   1;8142   7770    1       4  369  64     87   663 9  ;8142   7770    1      4  39  64     38   663 5    
8142   77 70    1       4  39  64     8   663 5   ;8142  7 7770    1       4  369  64     8   663   1;8142   7770    1       4  369  64     87   663 9  ;8142   7770    1      4  39  64     38   663 5    ;8142   77 70    1       4  39  64     8   6663 5  
8142   77 70    1       4  39  64     8   663 5   ;8142  7 7770    1       4  369  64     8   663   1;8142   7770    1      4  39  64     38   663 5    ;8142   77 70    1       4  39  64     8   6663 5  ;8142   77 70    1        4  39  64    8   663 5   
8142  7 7770    1       4  369  64     8   663   1;8142   7770    1      4  39  64     38   663 5    ;8142   77 70    1       4  39  64     8   6663 5  ;8142   77 70    1        4  39  64    8   663 5   ;8142  7 7770    1       4  369  64     8   663   1
8142  7 7770    1       4  369  64     8   663   1;8142   77 70    1       4  39  64     8   6663 5  ;8142   77 70    1        4  39  64    8   663 5   ;8142  7 7770    1       4  369  64     8   663   1;8142  7 7770           4  369  64     8   663   1 
8142  7 7770    1       4  369  64     8   663   1;8142   77 70    1       4  39  64     8   6663 5  ;8142  7 7770    1       4  369  64     8   663   1;8142  7 7770           4  369  64     8   663   1 ;8142  7 7770    1  2     4  369  64     8   663   
8142   77 70    1       4  39  64     8   6663 5  ;8142  7 7770    1       4  369  64     8   663   1;8142  7 7770           4  369  64     8   663   1 ;8142  7 7770    1  2     4  369  64     8   663   ;8142   77 70    1       4  39  64     8   61663 5 
8142  7 7770    1       4  369  64     8   663   1;8142  7 7770           4  369  64     8   663   1 ;8142  7 7770    1  2     4  369  64     8   663   ;8142   77 70    1       4  39  64     8   61663 5 ;8142  7 7770   1        4  369  64     8   663   1
8142  7 7770    1       4  369  64     8   663   1;8142  7 7770    1  2     4  369  64     8   663   ;8142   77 70    1       4  39  64     8   61663 5 ;8142  7 7770   1        4  369  64     8   663   1;814762  7 7770    1       4  369  64     8   663  
8142  7 7770    1  2     4  369  64     8   663   ;8142   77 70    1       4  39  64     8   61663 5 ;8142  7 7770   1        4  369  64     8   663   1;814762  7 7770    1       4  369  64     8   663  ;8142  7 7770    1  2     4  369  64     8   6633  
8142   77 70    1       4  39  64     8   61663 5 ;8142  7 7770   1        4  369  64     8   663   1;814762  7 7770    1       4  369  64     8   663  ;8142  7 7770    1  2     4  369  64     8   6633  ;8142   77 70    1       4  39  64     85   61663 5
8142   77 70    1       4  39  64     8   61663 5 ;814762  7 7770    1       4  369  64     8   663  ;8142  7 7770    1  2     4  369  64     8   6633  ;8142   77 70    1       4  39  64     85   61663 5;8142   77 70    1   9    4  39  64 7    8   61663 
814762  7 7770    1       4  369  64     8   663  ;8142  7 7770    1  2     4  369  64     8   6633  ;8142   77 70    1       4  39  64     85   61663 5;8142   77 70    1   9    4  39  64 7    8   61663 ;814762   7770    1       4 369  4     8   663     
814762  7 7770    1       4  369  64     8   663  ;8142   77 70    1       4  39  64     85   61663 5;8142   77 70    1   9    4  39  64 7    8   61663 ;814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663
8142   77 70    1       4  39  64     85   61663 5;8142   77 70    1   9    4  39  64 7    8   61663 ;814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142 3  77 70    1       4  39  64     85   61663 
8142   77 70    1   9    4  39  64 7    8   61663 ;814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142 3  77 70    1       4  39  64     85   61663 ;8142   77 70   1   9    4  39  64 7    8   61663  
814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142 3  77 70    1       4  39  64     85   61663 ;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     
814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     ;814762   7770    1       4 369  4     8   663     
814762   7770    1       4 369  4     8   663     ;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     ;814762   7770    1       4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   
814762   7770    1       4 369  4     8   663     ;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   ;8145762    7770    1      8 4 369  4     8   663  
814762   7770    1       4 369  4     8   663     ;814762   7770   1   3    4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   ;8145762    7770    1      8 4 369  4     8   663  ;814762   7770    1       4 369  4   5  8   663    
814762   7770   1   3    4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   ;8145762    7770    1      8 4 369  4     8   663  ;814762   7770    1       4 369  4   5  8   663    ;814762   77702   1   3    4 369  4     8   663    
814762   7770   1   3    4 369  4     8   663     ;8145762    7770    1      8 4 369  4     8   663  ;814762   7770    1       4 369  4   5  8   663    ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   11   3    4 369  4     8   663    
814762   7770   1   3    4 369  4     8   663     ;814762   7770    1       4 369  4   5  8   663    ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   11   3    4 369  4     8   663    ;814762   7770   1   3    4 369  4     8   663     
814762   7770   1   3    4 369  4     8   663     ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   11   3    4 369  4     8   663    ;814762   7770   1   3    4 369  4     8   663     ;8147 62   7770   13   3    4 369  4     8   663   
814762   7770   1   3    4 369  4     8   663     ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   1   3    4 369  4     8   663     ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   
814762   7770   1   3    4 369  4     8   663     ;814762   77702   1   3    4 369  4     8   663    ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     
814762   77702   1   3    4 369  4     8   663    ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  
8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  ;8147 62   7770   13   3    4 369  4     8   663   
814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770    1   3     4 369  42 5       663  
814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  
814762   7770  1   3    4 369  4     89   663     ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  ;814762   7770  81 1  3    4 369  4     89   663   
814762   7770  1   3    4 369  4     89   663     ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  ;814762   7770  81 1  3    4 369  4     89   663   ;814762  7770  1   3    4 369  4     89   663      
814762   7770  1   3    4 369  4     89   663     ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  ;814762  7770  1   3    4 369  4     89   663      ;814762   7770 1   03    4 369  4     869   663    
814762   7770  1   3    4 369  4     89   663     ;814762   77770  1   3    45 369  4      89   663  ;814762  7770  1   3    4 369  4     89   663      ;814762   7770 1   03    4 369  4     869   663    ;814762   7770  1   3    4 369  4      89   663    
814762   7770  1   3    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89   663      ;814762   7770 1   03    4 369  4     869   663    ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   
814762   7770  1   3    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89   663      ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   ;814762   7770  1    3  4  4 369  4     89   663   
814762  7770  1   3    4 369  4     89   663      ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   ;814762   7770  1    3  4  4 369  4     89   663   ;814762  7770  1   3    4 369  4     89   663      
814762  7770  1   3    4 369  4     89   663      ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369 4     89   663       
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369 4     89   663       ;814762  7770  1   3    4 369  4     89   663      
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369 4     89   663       ;14762  7770  1       4 369  4     89   663        
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;14762  7770  1       4 369  4     89   663        ;814762  747770  1       4 369  4     89   663     
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  747770  1       4 369  4     89   663     ;814762  7770  1   36    4 369  4     89   663     
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  747770  1       4 369  4     89   663     ;814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     
8141762   7770  1   3    4 369  4      89   663   ;814762  747770  1       4 369  4     89   663     ;814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1   3 5   4 369  4      89   663  
8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1   3 5   4 369  4      89   663  ;8141762   7770  1  3    4 369  4      89   663    
814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1   3 5   4 369  4      89   663  ;8141762   7770  1  3    4 369  4      89   663    ;814762  7770  1   36   2 4 369   4     89   663   
814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1  3    4 369  4      89   663    ;814762  7770  1   36   2 4 369   4     89   663   ;84762  77770  1   36    4 369  4     89   663     
814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1  3    4 369  4      89   663    ;814762  7770  1   36   2 4 369   4     89   663   ;84762  77770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   36   2 4 369   4     89   663   ;84762  77770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   36   2 4 369   4     89   663   ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 69  4     89    663      
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 69  4     89    663      ;814762  7770  1   3    4 369  4     89   663      
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 69  4     89    663      ;814762  7770  1   3    4 369  4     89   663      ;814762  7770 4 1   3    4 92369  4     89    663  
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770 4 1   3    4 92369  4     89    663  ;814762  7770  1    3    4 369  4      89    663   
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1    3    4 369  4      89    663   ;814762  7770  1   36    4 369  4     89    663    
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1    3    4 369  4      89    663   ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    ;81476 2  7770  1   3    4 369  4     89   663     
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      ;814762  770  1   3    4 369  4     89   663 6     
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      ;814762  770  1   3    4 369  4     89   663 6     ;814762  7770  1  0 3    4 369  4     89   663     
814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      ;814762  770  1   3    4 369  4     89   663 6     ;814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  
814762  7770  1   3    4 369  4      89    663    ;814762  770  1   3    4 369  4     89   663 6     ;814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   
814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  3    4 369  4     89    663      
